x,y,elevation,label
318125.173,77950.45201,64.968002,land
318126.1733,77950.45201,65.049133,land
318127.1735,77950.45201,65.134064,land
318128.1738,77950.45201,65.464203,land
318129.1741,77950.45201,65.661934,land
318130.1743,77950.45201,65.820572,land
318131.1746,77950.45201,66.114365,land
318132.1748,77950.45201,66.282875,land
318133.1751,77950.45201,66.263115,land
318134.1754,77950.45201,66.250908,land
318135.1756,77950.45201,66.252342,land
318136.1759,77950.45201,66.275879,land
318137.1762,77950.45201,66.290398,land
318138.1764,77950.45201,66.335159,land
318139.1767,77950.45201,66.409142,land
318140.1769,77950.45201,66.380852,land
318141.1772,77950.45201,66.431755,land
318142.1775,77950.45201,66.470566,land
318143.1777,77950.45201,66.602669,land
318144.178,77950.45201,66.618187,land
318145.1783,77950.45201,66.622681,land
318146.1785,77950.45201,66.723473,land
318147.1788,77950.45201,66.803291,land
318148.1791,77950.45201,66.804611,land
318149.1793,77950.45201,66.736198,land
318150.1796,77950.45201,66.71582,land
318151.1798,77950.45201,66.763306,land
318152.1801,77950.45201,66.801384,land
318153.1804,77950.45201,66.79631,land
318154.1806,77950.45201,66.759972,land
318155.1809,77950.45201,66.703484,land
318156.1812,77950.45201,66.746445,land
318157.1814,77950.45201,66.770081,land
318158.1817,77950.45201,66.836235,land
318159.182,77950.45201,66.98719,land
318160.1822,77950.45201,67.029099,land
318161.1825,77950.45201,67.002281,land
318162.1827,77950.45201,66.990829,land
318163.183,77950.45201,67.024117,land
318164.1833,77950.45201,67.107574,land
318165.1835,77950.45201,67.179756,land
318166.1838,77950.45201,67.258125,land
318167.1841,77950.45201,67.414696,land
318168.1843,77950.45201,67.691223,land
318169.1846,77950.45201,67.973122,land
318170.1848,77950.45201,68.192482,land
318171.1851,77950.45201,68.365158,land
318172.1854,77950.45201,68.608719,land
318173.1856,77950.45201,68.759315,land
318174.1859,77950.45201,68.847084,land
318175.1862,77950.45201,69.005249,land
318176.1864,77950.45201,69.162163,land
318177.1867,77950.45201,69.314415,land
318178.187,77950.45201,69.439781,land
318179.1872,77950.45201,69.512276,land
318180.1875,77950.45201,69.55761,land
318181.1877,77950.45201,69.550186,land
318182.188,77950.45201,69.65345,land
318183.1883,77950.45201,69.814751,land
318184.1885,77950.45201,69.957535,land
318185.1888,77950.45201,70.085945,land
318186.1891,77950.45201,70.170761,land
318187.1893,77950.45201,70.205574,land
318188.1896,77950.45201,70.239708,land
318189.1898,77950.45201,70.392929,land
318190.1901,77950.45201,70.590851,land
318191.1904,77950.45201,70.730019,land
318192.1906,77950.45201,70.787201,land
318193.1909,77950.45201,70.810631,land
318194.1912,77950.45201,70.796257,land
318195.1914,77950.45201,70.752396,land
318196.1917,77950.45201,70.567383,land
318197.192,77950.45201,70.735519,land
318198.1922,77950.45201,71.03511,land
318199.1925,77950.45201,71.153427,land
318200.1927,77950.45201,71.1707,land
318201.193,77950.45201,71.162865,land
318202.1933,77950.45201,71.14991,land
318203.1935,77950.45201,71.241096,land
